Index,UTC,relPosN,relPosE,CoG
1608,14:12:20.875 02/25/2019,-0.8186,5.5503,122.88
1609,14:12:21.000 02/25/2019,-0.8186,5.5603,122.88
1610,14:12:21.125 02/25/2019,-0.8087,5.5403,122.88
1611,14:12:21.250 02/25/2019,-0.8287,5.5203,122.88
1612,14:12:21.375 02/25/2019,-0.8091,5.4803,122.88
1613,14:12:21.500 02/25/2019,-0.8188,5.5003,267.87
1614,14:12:21.625 02/25/2019,-0.7895,5.4303,281.67
1615,14:12:21.750 02/25/2019,-0.7993,5.4403,270.87
1616,14:12:21.875 02/25/2019,-0.7995,5.4203,272.22
1617,14:12:22.000 02/25/2019,-0.7799,5.3703,284.16
1618,14:12:22.125 02/25/2019,-0.7899,5.3503,270.92
1619,14:12:22.250 02/25/2019,-0.7901,5.3302,270.92
1620,14:12:22.375 02/25/2019,-0.7703,5.3002,270.92
1621,14:12:22.500 02/25/2019,-0.7702,5.3202,270.92
1622,14:12:22.625 02/25/2019,-0.7707,5.2402,270.92
1623,14:12:22.750 02/25/2019,-0.7702,5.3002,270.92
1624,14:12:22.875 02/25/2019,-0.7607,5.2402,270.92
1625,14:12:23.000 02/25/2019,-0.7608,5.2302,270.92
1626,14:12:23.125 02/25/2019,-0.7510,5.2002,270.92
1627,14:12:23.250 02/25/2019,-0.7510,5.2002,270.92
1628,14:12:23.375 02/25/2019,-0.7412,5.1602,270.92
1629,14:12:23.500 02/25/2019,-0.7411,5.1702,270.92
1630,14:12:23.625 02/25/2019,-0.7413,5.1602,270.92
1631,14:12:23.750 02/25/2019,-0.7412,5.1602,270.92
1632,14:12:23.875 02/25/2019,-0.7314,5.1402,270.92
1633,14:12:24.000 02/25/2019,-0.7315,5.1302,270.92
1634,14:12:24.125 02/25/2019,-0.7216,5.1102,270.92
1635,14:12:24.250 02/25/2019,-0.7217,5.1102,270.92
1636,14:12:24.375 02/25/2019,-0.7315,5.1202,270.92
1637,14:12:24.500 02/25/2019,-0.7317,5.0802,270.92
1638,14:12:24.625 02/25/2019,-0.7315,5.1202,270.92
1639,14:12:24.750 02/25/2019,-0.7315,5.1502,270.92
1640,14:12:24.875 02/25/2019,-0.7217,5.0802,270.92
1641,14:12:25.000 02/25/2019,-0.7216,5.1202,270.92
1642,14:12:25.125 02/25/2019,-0.7510,5.1402,270.92
1643,14:12:25.250 02/25/2019,-0.7214,5.1102,270.92
1644,14:12:25.375 02/25/2019,-0.7215,5.1102,270.92
1645,14:12:25.500 02/25/2019,-0.7415,5.1002,270.92
1646,14:12:25.625 02/25/2019,-0.7314,5.1202,270.92
1647,14:12:25.750 02/25/2019,-0.7114,5.1102,270.92
1648,14:12:25.875 02/25/2019,-0.7314,5.1002,270.92
1649,14:12:26.000 02/25/2019,-0.7215,5.1002,270.92
1650,14:12:26.125 02/25/2019,-0.7115,5.1102,77.60
1651,14:12:26.250 02/25/2019,-0.7512,5.1302,96.00
1652,14:12:26.375 02/25/2019,-0.7515,5.1002,98.11
1653,14:12:26.500 02/25/2019,-0.7213,5.1202,86.31
1654,14:12:26.625 02/25/2019,-0.7313,5.1302,92.32
1655,14:12:26.750 02/25/2019,-0.7314,5.1002,97.37
1656,14:12:26.875 02/25/2019,-0.7314,5.1202,96.85
1657,14:12:27.000 02/25/2019,-0.7314,5.1102,94.69
1658,14:12:27.125 02/25/2019,-0.7412,5.1302,94.69
1659,14:12:27.250 02/25/2019,-0.7513,5.1202,94.69
1660,14:12:27.375 02/25/2019,-0.7414,5.1202,94.69
1661,14:12:27.500 02/25/2019,-0.7411,5.1302,94.69
1662,14:12:27.625 02/25/2019,-0.7413,5.1002,94.69
1663,14:12:27.750 02/25/2019,-0.7511,5.1402,94.69
1664,14:12:27.875 02/25/2019,-0.7610,5.1302,94.69
1665,14:12:28.000 02/25/2019,-0.7514,5.1002,94.69
1666,14:12:28.125 02/25/2019,-0.7513,5.1102,94.69
1667,14:12:28.250 02/25/2019,-0.7513,5.1002,94.69
1668,14:12:28.375 02/25/2019,-0.7506,5.1502,94.69
1669,14:12:28.500 02/25/2019,-0.7709,5.1502,94.69
1670,14:12:28.625 02/25/2019,-0.7611,5.1102,94.69
1671,14:12:28.750 02/25/2019,-0.7612,5.1002,94.69
1672,14:12:28.875 02/25/2019,-0.7512,5.1002,94.69
1673,14:12:29.000 02/25/2019,-0.7808,5.1502,94.69
1674,14:12:29.125 02/25/2019,-0.7712,5.1102,94.69
1675,14:12:29.250 02/25/2019,-0.7809,5.1302,94.69
1676,14:12:29.375 02/25/2019,-0.7711,5.1102,94.69
1677,14:12:29.500 02/25/2019,-0.7710,5.1202,94.69
1678,14:12:29.625 02/25/2019,-0.7810,5.1302,94.69
1679,14:12:29.750 02/25/2019,-0.7812,5.1002,94.69
1680,14:12:29.875 02/25/2019,-0.7808,5.1202,94.69
1681,14:12:30.000 02/25/2019,-0.7908,5.1402,94.69
1682,14:12:30.125 02/25/2019,-0.7910,5.1102,94.69
1683,14:12:30.250 02/25/2019,-0.7808,5.1202,94.69
1684,14:12:30.375 02/25/2019,-0.7909,5.1202,94.69
1685,14:12:30.500 02/25/2019,-0.7910,5.1102,94.69
1686,14:12:30.625 02/25/2019,-0.7811,5.0902,94.69
1687,14:12:30.750 02/25/2019,-0.8008,5.1402,94.69
1688,14:12:30.875 02/25/2019,-0.7909,5.1102,94.69
1689,14:12:31.000 02/25/2019,-0.8108,5.1202,94.69
1690,14:12:31.125 02/25/2019,-0.8010,5.1102,94.69
1691,14:12:31.250 02/25/2019,-0.8009,5.1002,94.69
1692,14:12:31.375 02/25/2019,-0.8209,5.1102,94.69
1693,14:12:31.500 02/25/2019,-0.8107,5.1202,94.69
1694,14:12:31.625 02/25/2019,-0.8208,5.1102,94.69
1695,14:12:31.750 02/25/2019,-0.8110,5.0902,94.69
1696,14:12:31.875 02/25/2019,-0.8209,5.0802,94.69
1697,14:12:32.000 02/25/2019,-0.8306,5.1202,94.69
1698,14:12:32.125 02/25/2019,-0.8208,5.1002,94.69
1699,14:12:32.250 02/25/2019,-0.8305,5.1302,94.69
1700,14:12:32.375 02/25/2019,-0.8307,5.0902,94.69
1701,14:12:32.500 02/25/2019,-0.8307,5.0902,94.69
1702,14:12:32.625 02/25/2019,-0.8404,5.1202,94.69
1703,14:12:32.750 02/25/2019,-0.8405,5.1102,94.69
1704,14:12:32.875 02/25/2019,-0.8404,5.1202,94.69
1705,14:12:33.000 02/25/2019,-0.8405,5.1002,94.69
1706,14:12:33.125 02/25/2019,-0.8404,5.1002,94.69
1707,14:12:33.250 02/25/2019,-0.8406,5.0902,94.69
1708,14:12:33.375 02/25/2019,-0.8505,5.1002,94.69
1709,14:12:33.500 02/25/2019,-0.8603,5.1102,94.69
1710,14:12:33.625 02/25/2019,-0.8505,5.1002,94.69
1711,14:12:33.750 02/25/2019,-0.8505,5.0902,94.69
1712,14:12:33.875 02/25/2019,-0.8604,5.1102,94.69
1713,14:12:34.000 02/25/2019,-0.8602,5.1102,94.69
1714,14:12:34.125 02/25/2019,-0.8704,5.1202,94.69
1715,14:12:34.250 02/25/2019,-0.8704,5.0802,94.69
1716,14:12:34.375 02/25/2019,-0.8703,5.0902,94.69
1717,14:12:34.500 02/25/2019,-0.8604,5.0902,94.69
1718,14:12:34.625 02/25/2019,-0.8805,5.0802,94.69
1719,14:12:34.750 02/25/2019,-0.8703,5.0802,94.69
1720,14:12:34.875 02/25/2019,-0.8703,5.0902,94.69
1721,14:12:35.000 02/25/2019,-0.8707,5.0502,94.69
1722,14:12:35.125 02/25/2019,-0.8605,5.0802,94.69
1723,14:12:35.250 02/25/2019,-0.8703,5.1102,94.69
1724,14:12:35.375 02/25/2019,-0.8804,5.1002,94.69
1725,14:12:35.500 02/25/2019,-0.8706,5.0702,94.69
1726,14:12:35.625 02/25/2019,-0.8804,5.1002,94.69
1727,14:12:35.750 02/25/2019,-0.8903,5.1502,94.69
1728,14:12:35.875 02/25/2019,-0.9003,5.1402,94.69
1729,14:12:36.000 02/25/2019,-0.9006,5.1202,94.69
1730,14:12:36.125 02/25/2019,-0.9103,5.2002,94.69
1731,14:12:36.250 02/25/2019,-0.9202,5.2202,94.69
1732,14:12:36.375 02/25/2019,-0.9104,5.1602,94.69
1733,14:12:36.500 02/25/2019,-0.8906,5.1402,94.69
1734,14:12:36.625 02/25/2019,-0.8807,5.1002,94.69
1735,14:12:36.750 02/25/2019,-0.8809,5.1102,94.69
1736,14:12:36.875 02/25/2019,-0.8808,5.1002,94.69
1737,14:12:37.000 02/25/2019,-0.8907,5.1102,94.69
1738,14:12:37.125 02/25/2019,-0.8910,5.0802,265.86
1739,14:12:37.250 02/25/2019,-0.8805,5.1402,285.01
1740,14:12:37.375 02/25/2019,-0.8911,5.0702,266.75
1741,14:12:37.500 02/25/2019,-0.8911,5.0802,272.21
1742,14:12:37.625 02/25/2019,-0.8712,5.0902,294.93
1743,14:12:37.750 02/25/2019,-0.8811,5.1002,273.60
1744,14:12:37.875 02/25/2019,-0.8911,5.0802,273.60
1745,14:12:38.000 02/25/2019,-0.8912,5.0802,273.60
1746,14:12:38.125 02/25/2019,-0.8812,5.0902,273.60
1747,14:12:38.250 02/25/2019,-0.8811,5.1102,273.60
1748,14:12:38.375 02/25/2019,-0.8714,5.1002,273.60
1749,14:12:38.500 02/25/2019,-0.8712,5.1102,273.60
1750,14:12:38.625 02/25/2019,-0.8914,5.1002,273.60
1751,14:12:38.750 02/25/2019,-0.8516,5.1002,273.60
1752,14:12:38.875 02/25/2019,-0.8712,5.1202,273.60
1753,14:12:39.000 02/25/2019,-0.8618,5.0802,273.60
1754,14:12:39.125 02/25/2019,-0.8714,5.1202,273.60
1755,14:12:39.250 02/25/2019,-0.8616,5.1002,273.60
1756,14:12:39.375 02/25/2019,-0.8516,5.1102,273.60
1757,14:12:39.500 02/25/2019,-0.8420,5.0902,273.60
1758,14:12:39.625 02/25/2019,-0.8521,5.0602,273.60
1759,14:12:39.750 02/25/2019,-0.8522,5.0802,273.60
1760,14:12:39.875 02/25/2019,-0.8225,5.0702,273.60
1761,14:12:40.000 02/25/2019,-0.8325,5.0902,273.60
1762,14:12:40.125 02/25/2019,-0.8228,5.0402,273.60
1763,14:12:40.250 02/25/2019,-0.8133,5.0202,273.60
1764,14:12:40.375 02/25/2019,-0.8033,5.0202,273.60
1765,14:12:40.500 02/25/2019,-0.7839,4.9802,273.60
1766,14:12:40.625 02/25/2019,-0.7841,4.9702,273.60
1767,14:12:40.750 02/25/2019,-0.8036,5.0102,273.60
1768,14:12:40.875 02/25/2019,-0.7841,4.9602,273.60
1769,14:12:41.000 02/25/2019,-0.7843,4.9602,273.60
1770,14:12:41.125 02/25/2019,-0.7644,4.9602,273.60
1771,14:12:41.250 02/25/2019,-0.7845,4.9502,273.60
1772,14:12:41.375 02/25/2019,-0.7744,4.9502,273.60
1773,14:12:41.500 02/25/2019,-0.7745,4.9502,273.60
1774,14:12:41.625 02/25/2019,-0.7647,4.9402,273.60
1775,14:12:41.750 02/25/2019,-0.7844,4.9702,273.60
1776,14:12:41.875 02/25/2019,-0.7844,4.9902,273.60
1777,14:12:42.000 02/25/2019,-0.7745,4.9602,273.60
1778,14:12:42.125 02/25/2019,-0.7847,4.9502,273.60
1779,14:12:42.250 02/25/2019,-0.7747,4.9502,273.60
1780,14:12:42.375 02/25/2019,-0.7748,4.9702,273.60
1781,14:12:42.500 02/25/2019,-0.7745,4.9902,273.60
1782,14:12:42.625 02/25/2019,-0.7845,4.9802,273.60
1783,14:12:42.750 02/25/2019,-0.7747,4.9802,273.45
1784,14:12:42.875 02/25/2019,-0.7648,4.9702,273.53
1785,14:12:43.000 02/25/2019,-0.7748,4.9802,273.53
1786,14:12:43.125 02/25/2019,-0.7848,4.9802,273.53
1787,14:12:43.250 02/25/2019,-0.7848,5.0002,273.53
1788,14:12:43.375 02/25/2019,-0.7849,4.9902,273.53
1789,14:12:43.500 02/25/2019,-0.7746,5.0002,273.53
1790,14:12:43.625 02/25/2019,-0.7848,4.9902,273.53
1791,14:12:43.750 02/25/2019,-0.7748,5.0102,273.53
1792,14:12:43.875 02/25/2019,-0.7550,4.9802,273.53
1793,14:12:44.000 02/25/2019,-0.7847,5.0202,273.53
1794,14:12:44.125 02/25/2019,-0.7748,5.0102,273.53
1795,14:12:44.250 02/25/2019,-0.7747,5.0102,273.53
1796,14:12:44.375 02/25/2019,-0.7748,5.0102,273.53
1797,14:12:44.500 02/25/2019,-0.7750,5.0002,273.53
1798,14:12:44.625 02/25/2019,-0.7748,5.0202,273.53
1799,14:12:44.750 02/25/2019,-0.7848,5.0102,273.53
1800,14:12:44.875 02/25/2019,-0.7647,5.0402,273.53
1801,14:12:45.000 02/25/2019,-0.7749,5.0102,273.53
1802,14:12:45.125 02/25/2019,-0.7748,5.0302,273.53
1803,14:12:45.250 02/25/2019,-0.7748,5.0402,273.53
1804,14:12:45.375 02/25/2019,-0.7749,5.0202,273.53
1805,14:12:45.500 02/25/2019,-0.7749,5.0202,273.53
1806,14:12:45.625 02/25/2019,-0.7846,5.0402,273.53
1807,14:12:45.750 02/25/2019,-0.7748,5.0302,273.53
1808,14:12:45.875 02/25/2019,-0.7848,5.0502,273.53
1809,14:12:46.000 02/25/2019,-0.7748,5.0402,273.53
1810,14:12:46.125 02/25/2019,-0.7947,5.0502,273.53
1811,14:12:46.250 02/25/2019,-0.7748,5.0402,273.53
1812,14:12:46.375 02/25/2019,-0.7848,5.0602,273.53
1813,14:12:46.500 02/25/2019,-0.7746,5.0602,273.53
1814,14:12:46.625 02/25/2019,-0.7846,5.0602,273.53
1815,14:12:46.750 02/25/2019,-0.7948,5.0602,273.53
1816,14:12:46.875 02/25/2019,-0.7845,5.0602,273.53
1817,14:12:47.000 02/25/2019,-0.7945,5.0802,273.53
1818,14:12:47.125 02/25/2019,-0.7848,5.0502,273.53
1819,14:12:47.250 02/25/2019,-0.7947,5.0702,273.53
1820,14:12:47.375 02/25/2019,-0.7845,5.0802,273.53
1821,14:12:47.500 02/25/2019,-0.8045,5.0802,273.53
1822,14:12:47.625 02/25/2019,-0.7847,5.0502,273.53
1823,14:12:47.750 02/25/2019,-0.7845,5.0902,273.53
1824,14:12:47.875 02/25/2019,-0.8043,5.1002,273.53
1825,14:12:48.000 02/25/2019,-0.7945,5.0802,273.53
1826,14:12:48.125 02/25/2019,-0.7944,5.0902,273.53
1827,14:12:48.250 02/25/2019,-0.8041,5.1402,273.53
1828,14:12:48.375 02/25/2019,-0.8142,5.1202,273.53
1829,14:12:48.500 02/25/2019,-0.8043,5.0902,273.53
1830,14:12:48.625 02/25/2019,-0.8145,5.1002,273.53
1831,14:12:48.750 02/25/2019,-0.7940,5.1502,273.53
1832,14:12:48.875 02/25/2019,-0.8141,5.1102,273.53
1833,14:12:49.000 02/25/2019,-0.8138,5.1602,273.53
1834,14:12:49.125 02/25/2019,-0.8139,5.1302,273.53
1835,14:12:49.250 02/25/2019,-0.8138,5.1702,273.53
1836,14:12:49.375 02/25/2019,-0.8136,5.1602,273.53
1837,14:12:49.500 02/25/2019,-0.8339,5.1302,273.53
1838,14:12:49.625 02/25/2019,-0.8134,5.1802,273.53
1839,14:12:49.750 02/25/2019,-0.8236,5.1702,273.53
1840,14:12:49.875 02/25/2019,-0.8334,5.1702,273.53
1841,14:12:50.000 02/25/2019,-0.8232,5.1802,273.53
1842,14:12:50.125 02/25/2019,-0.8232,5.1802,273.53
1843,14:12:50.250 02/25/2019,-0.8229,5.2002,273.53
1844,14:12:50.375 02/25/2019,-0.8431,5.1902,273.53
1845,14:12:50.500 02/25/2019,-0.8428,5.2102,273.53
1846,14:12:50.625 02/25/2019,-0.8526,5.2102,273.53
1847,14:12:50.750 02/25/2019,-0.8628,5.2002,273.53
1848,14:12:50.875 02/25/2019,-0.8424,5.2502,273.53
1849,14:12:51.000 02/25/2019,-0.8421,5.2702,273.53
1850,14:12:51.125 02/25/2019,-0.8722,5.2502,273.53
1851,14:12:51.250 02/25/2019,-0.8720,5.2602,273.53
1852,14:12:51.375 02/25/2019,-0.8816,5.2002,247.00
1853,14:12:51.500 02/25/2019,-0.8613,5.1802,261.27
1854,14:12:51.625 02/25/2019,-0.8811,5.1302,251.94
1855,14:12:51.750 02/25/2019,-0.8705,5.1702,261.58
1856,14:12:51.875 02/25/2019,-0.8908,5.1002,255.17
1857,14:12:52.000 02/25/2019,-0.8906,5.0902,256.78
1858,14:12:52.125 02/25/2019,-0.8806,5.0702,263.55
1859,14:12:52.250 02/25/2019,-0.8904,5.0602,260.23
1860,14:12:52.375 02/25/2019,-0.9003,5.0402,260.23
1861,14:12:52.500 02/25/2019,-0.8903,5.0402,260.23
1862,14:12:52.625 02/25/2019,-0.9100,5.0403,260.23
1863,14:12:52.750 02/25/2019,-0.9200,5.0203,260.23
1864,14:12:52.875 02/25/2019,-0.9299,5.0303,260.23
1865,14:12:53.000 02/25/2019,-0.9198,5.0303,260.23
1866,14:12:53.125 02/25/2019,-0.9298,5.0103,260.23
1867,14:12:53.250 02/25/2019,-0.9197,5.0203,260.23
1868,14:12:53.375 02/25/2019,-0.9293,5.0603,260.23
1869,14:12:53.500 02/25/2019,-0.9393,5.0303,260.23
1870,14:12:53.625 02/25/2019,-0.9692,5.0203,260.23
1871,14:12:53.750 02/25/2019,-0.9689,5.0503,260.23
1872,14:12:53.875 02/25/2019,-0.9588,5.0603,260.23
1873,14:12:54.000 02/25/2019,-0.9685,5.0903,260.23
1874,14:12:54.125 02/25/2019,-0.9785,5.0703,260.23
1875,14:12:54.250 02/25/2019,-0.9985,5.0503,260.23
1876,14:12:54.375 02/25/2019,-0.9984,5.0403,260.23
1877,14:12:54.500 02/25/2019,-0.9882,5.0703,260.23
1878,14:12:54.625 02/25/2019,-1.0082,5.0603,260.23
1879,14:12:54.750 02/25/2019,-1.0184,5.0103,260.23
1880,14:12:54.875 02/25/2019,-1.0181,5.0403,252.32
1881,14:12:55.000 02/25/2019,-1.0078,5.0603,255.80
1882,14:12:55.125 02/25/2019,-1.0382,4.9703,255.80
1883,14:12:55.250 02/25/2019,-1.0381,4.9903,255.80
1884,14:12:55.375 02/25/2019,-1.0180,5.0103,255.80
1885,14:12:55.500 02/25/2019,-1.0279,5.0103,255.80
1886,14:12:55.625 02/25/2019,-1.0278,5.0203,255.80
1887,14:12:55.750 02/25/2019,-1.0277,5.0203,255.80
1888,14:12:55.875 02/25/2019,-1.0475,5.0303,79.78
1889,14:12:56.000 02/25/2019,-1.0576,5.0103,91.70
1890,14:12:56.125 02/25/2019,-1.0575,5.0103,135.54
1891,14:12:56.250 02/25/2019,-1.0672,5.0303,135.54
1892,14:12:56.375 02/25/2019,-1.0672,5.0303,135.54
1893,14:12:56.500 02/25/2019,-1.0771,5.0303,135.54
1894,14:12:56.625 02/25/2019,-1.0769,5.0503,135.54
1895,14:12:56.750 02/25/2019,-1.0770,5.0303,135.54
1896,14:12:56.875 02/25/2019,-1.0869,5.0303,135.54
1897,14:12:57.000 02/25/2019,-1.0867,5.0603,135.54
1898,14:12:57.125 02/25/2019,-1.0968,5.0503,135.54
1899,14:12:57.250 02/25/2019,-1.0866,5.0503,135.54
1900,14:12:57.375 02/25/2019,-1.0966,5.0503,135.54
1901,14:12:57.500 02/25/2019,-1.0866,5.0603,135.54
1902,14:12:57.625 02/25/2019,-1.0965,5.0603,135.54
1903,14:12:57.750 02/25/2019,-1.0866,5.0703,135.54
1904,14:12:57.875 02/25/2019,-1.0865,5.0803,135.54
1905,14:12:58.000 02/25/2019,-1.0965,5.0703,135.54
1906,14:12:58.125 02/25/2019,-1.0866,5.0803,135.54
1907,14:12:58.250 02/25/2019,-1.0964,5.0903,135.54
1908,14:12:58.375 02/25/2019,-1.0962,5.1303,135.54
1909,14:12:58.500 02/25/2019,-1.1160,5.1403,135.54
1910,14:12:58.625 02/25/2019,-1.0960,5.1503,135.54
1911,14:12:58.750 02/25/2019,-1.1059,5.1803,135.54
1912,14:12:58.875 02/25/2019,-1.1058,5.1903,135.54
1913,14:12:59.000 02/25/2019,-1.0959,5.1903,135.54
1914,14:12:59.125 02/25/2019,-1.0958,5.2103,135.54
1915,14:12:59.250 02/25/2019,-1.0859,5.2103,135.54
1916,14:12:59.375 02/25/2019,-1.0858,5.2303,135.54
1917,14:12:59.500 02/25/2019,-1.0956,5.2603,135.54
1918,14:12:59.625 02/25/2019,-1.0756,5.2803,135.54
1919,14:12:59.750 02/25/2019,-1.0855,5.3103,135.54
1920,14:12:59.875 02/25/2019,-1.0754,5.3203,135.54
1921,14:13:00.000 02/25/2019,-1.0654,5.3403,135.54
1922,14:13:00.125 02/25/2019,-1.0654,5.3603,135.54
1923,14:13:00.250 02/25/2019,-1.0752,5.3803,135.54
1924,14:13:00.375 02/25/2019,-1.0651,5.4003,135.54
1925,14:13:00.500 02/25/2019,-1.0650,5.4303,135.54
1926,14:13:00.625 02/25/2019,-1.0550,5.4303,135.54
1927,14:13:00.750 02/25/2019,-1.0648,5.4703,135.54
1928,14:13:00.875 02/25/2019,-1.0547,5.4803,135.54
1929,14:13:01.000 02/25/2019,-1.0547,5.4903,135.54
1930,14:13:01.125 02/25/2019,-1.0545,5.5303,135.54
1931,14:13:01.250 02/25/2019,-1.0545,5.5203,135.54
1932,14:13:01.375 02/25/2019,-1.0443,5.5403,135.54
1933,14:13:01.500 02/25/2019,-1.0542,5.5603,135.54
1934,14:13:01.625 02/25/2019,-1.0542,5.5503,135.54
1935,14:13:01.750 02/25/2019,-1.0442,5.5503,135.54
1936,14:13:01.875 02/25/2019,-1.0540,5.5803,135.54
1937,14:13:02.000 02/25/2019,-1.0441,5.5703,135.54
1938,14:13:02.125 02/25/2019,-1.0540,5.5903,135.54
1939,14:13:02.250 02/25/2019,-1.0441,5.5703,135.54
1940,14:13:02.375 02/25/2019,-1.0538,5.6003,135.54
1941,14:13:02.500 02/25/2019,-1.0440,5.5803,135.54
1942,14:13:02.625 02/25/2019,-1.0538,5.6003,135.54
1943,14:13:02.750 02/25/2019,-1.0440,5.5603,135.54
1944,14:13:02.875 02/25/2019,-1.0438,5.5803,135.54
1945,14:13:03.000 02/25/2019,-1.0538,5.5903,135.54
1946,14:13:03.125 02/25/2019,-1.0537,5.5903,135.54
1947,14:13:03.250 02/25/2019,-1.0538,5.5703,135.54
1948,14:13:03.375 02/25/2019,-1.0438,5.5803,135.54
1949,14:13:03.500 02/25/2019,-1.0437,5.5803,135.54
1950,14:13:03.625 02/25/2019,-1.0536,5.6003,135.54
1951,14:13:03.750 02/25/2019,-1.0436,5.5903,135.54
1952,14:13:03.875 02/25/2019,-1.0435,5.6003,135.54
1953,14:13:04.000 02/25/2019,-1.0434,5.6103,135.54
1954,14:13:04.125 02/25/2019,-1.0435,5.6003,135.54
1955,14:13:04.250 02/25/2019,-1.0434,5.6103,135.54
1956,14:13:04.375 02/25/2019,-1.0334,5.6303,135.54
1957,14:13:04.500 02/25/2019,-1.0430,5.6603,135.54
1958,14:13:04.625 02/25/2019,-1.0332,5.6203,135.54
1959,14:13:04.750 02/25/2019,-1.0431,5.6403,135.54
1960,14:13:04.875 02/25/2019,-1.0328,5.6603,135.54
1961,14:13:05.000 02/25/2019,-1.0527,5.6803,135.54
1962,14:13:05.125 02/25/2019,-1.0228,5.6703,135.54
1963,14:13:05.250 02/25/2019,-1.0426,5.6903,135.54
1964,14:13:05.375 02/25/2019,-1.0425,5.6903,135.54
1965,14:13:05.500 02/25/2019,-1.0423,5.7203,135.54
1966,14:13:05.625 02/25/2019,-1.0421,5.7403,135.54
1967,14:13:05.750 02/25/2019,-1.0321,5.7403,135.54
1968,14:13:05.875 02/25/2019,-1.0419,5.7503,135.54
1969,14:13:06.000 02/25/2019,-1.0417,5.7803,135.54
1970,14:13:06.125 02/25/2019,-1.0515,5.8003,135.54
1971,14:13:06.250 02/25/2019,-1.0415,5.8003,135.54
1972,14:13:06.375 02/25/2019,-1.0413,5.8203,135.54
1973,14:13:06.500 02/25/2019,-1.0512,5.8303,135.54
1974,14:13:06.625 02/25/2019,-1.0510,5.8503,135.54
1975,14:13:06.750 02/25/2019,-1.0509,5.8603,135.54
1976,14:13:06.875 02/25/2019,-1.0407,5.8803,135.54
1977,14:13:07.000 02/25/2019,-1.0505,5.9003,135.54
1978,14:13:07.125 02/25/2019,-1.0504,5.9003,135.54
1979,14:13:07.250 02/25/2019,-1.0502,5.9203,135.54
1980,14:13:07.375 02/25/2019,-1.0502,5.9103,135.54
1981,14:13:07.500 02/25/2019,-1.0601,5.9203,135.54
1982,14:13:07.625 02/25/2019,-1.0601,5.9203,135.54
1983,14:13:07.750 02/25/2019,-1.0499,5.9303,135.54
1984,14:13:07.875 02/25/2019,-1.0599,5.9303,135.54
1985,14:13:08.000 02/25/2019,-1.0500,5.9003,135.54
1986,14:13:08.125 02/25/2019,-1.0499,5.9003,135.54
1987,14:13:08.250 02/25/2019,-1.0500,5.9003,135.54
1988,14:13:08.375 02/25/2019,-1.0496,5.9303,135.54
1989,14:13:08.500 02/25/2019,-1.0597,5.9303,135.54
1990,14:13:08.625 02/25/2019,-1.0595,5.9403,135.54
1991,14:13:08.750 02/25/2019,-1.0495,5.9403,135.54
1992,14:13:08.875 02/25/2019,-1.0493,5.9503,135.54
1993,14:13:09.000 02/25/2019,-1.0591,5.9603,135.54
1994,14:13:09.125 02/25/2019,-1.0592,5.9503,135.54
1995,14:13:09.250 02/25/2019,-1.0591,5.9703,135.54
1996,14:13:09.375 02/25/2019,-1.0787,5.9803,135.54
1997,14:13:09.500 02/25/2019,-1.0983,6.0103,135.54
1998,14:13:09.625 02/25/2019,-1.0983,6.0203,135.54
1999,14:13:09.750 02/25/2019,-1.0883,6.0003,135.54
2000,14:13:09.875 02/25/2019,-1.0882,6.0103,135.54
2001,14:13:10.000 02/25/2019,-1.0981,6.0203,135.54
2002,14:13:10.125 02/25/2019,-1.0981,6.0103,135.54
2003,14:13:10.250 02/25/2019,-1.0980,6.0203,135.54
2004,14:13:10.375 02/25/2019,-1.0879,6.0203,135.54
2005,14:13:10.500 02/25/2019,-1.0978,6.0303,135.54
2006,14:13:10.625 02/25/2019,-1.0979,6.0303,135.54
2007,14:13:10.750 02/25/2019,-1.0977,6.0403,135.54
2008,14:13:10.875 02/25/2019,-1.0975,6.0503,135.54
2009,14:13:11.000 02/25/2019,-1.0876,6.0503,135.54
2010,14:13:11.125 02/25/2019,-1.0875,6.0503,135.54
2011,14:13:11.250 02/25/2019,-1.0874,6.0703,135.54
2012,14:13:11.375 02/25/2019,-1.0974,6.0603,135.54
2013,14:13:11.500 02/25/2019,-1.1227,6.0803,135.54
2014,14:13:11.625 02/25/2019,-1.1128,6.0703,135.54
2015,14:13:11.750 02/25/2019,-1.1226,6.0903,135.54
2016,14:13:11.875 02/25/2019,-1.1226,6.0803,135.54
2017,14:13:12.000 02/25/2019,-1.1126,6.0803,135.54
2018,14:13:12.125 02/25/2019,-1.1225,6.0903,135.54
2019,14:13:12.250 02/25/2019,-1.1223,6.1103,135.54
2020,14:13:12.375 02/25/2019,-1.1122,6.1003,135.54
2021,14:13:12.500 02/25/2019,-1.1222,6.1103,135.54
2022,14:13:12.625 02/25/2019,-1.1121,6.1203,135.54
2023,14:13:12.750 02/25/2019,-1.1219,6.1203,135.54
2024,14:13:12.875 02/25/2019,-1.1219,6.1103,135.54
2025,14:13:13.000 02/25/2019,-1.1217,6.1403,135.54
2026,14:13:13.125 02/25/2019,-1.1118,6.1303,135.54
2027,14:13:13.250 02/25/2019,-1.1215,6.1503,135.54
2028,14:13:13.375 02/25/2019,-1.1215,6.1503,135.54
2029,14:13:13.500 02/25/2019,-1.1214,6.1503,135.54
2030,14:13:13.625 02/25/2019,-1.1113,6.1503,135.54
