Index,UTC,relPosN,relPosE,CoG
486,14:10:00.625 02/25/2019,-1.9893,4.9102,105.33
487,14:10:00.750 02/25/2019,-1.9891,4.9202,105.33
488,14:10:00.875 02/25/2019,-1.9991,4.9102,105.33
489,14:10:01.000 02/25/2019,-1.9893,4.8802,105.33
490,14:10:01.125 02/25/2019,-1.9991,4.9102,105.33
491,14:10:01.250 02/25/2019,-1.9993,4.8702,105.33
492,14:10:01.375 02/25/2019,-1.9993,4.8702,105.33
493,14:10:01.500 02/25/2019,-1.9993,4.8602,105.33
494,14:10:01.625 02/25/2019,-1.9896,4.8202,105.33
495,14:10:01.750 02/25/2019,-1.9896,4.8202,105.33
496,14:10:01.875 02/25/2019,-1.9896,4.8102,105.33
497,14:10:02.000 02/25/2019,-1.9897,4.7902,105.33
498,14:10:02.125 02/25/2019,-1.9998,4.7802,105.33
499,14:10:02.250 02/25/2019,-1.9898,4.7702,105.33
500,14:10:02.375 02/25/2019,-1.9900,4.7602,105.33
501,14:10:02.500 02/25/2019,-1.9901,4.7302,105.33
502,14:10:02.625 02/25/2019,-1.9901,4.7202,105.33
503,14:10:02.750 02/25/2019,-1.9901,4.7102,105.33
504,14:10:02.875 02/25/2019,-1.9802,4.7002,105.33
505,14:10:03.000 02/25/2019,-1.9705,4.6802,105.33
506,14:10:03.125 02/25/2019,-1.9803,4.6802,105.33
507,14:10:03.250 02/25/2019,-1.9805,4.6502,105.33
508,14:10:03.375 02/25/2019,-1.9706,4.6402,105.33
509,14:10:03.500 02/25/2019,-1.9804,4.6602,105.33
510,14:10:03.625 02/25/2019,-1.9808,4.6002,105.33
511,14:10:03.750 02/25/2019,-1.9709,4.5902,105.33
512,14:10:03.875 02/25/2019,-1.9708,4.5802,105.33
513,14:10:04.000 02/25/2019,-1.9708,4.5802,105.33
514,14:10:04.125 02/25/2019,-1.9709,4.5702,105.33
515,14:10:04.250 02/25/2019,-1.9710,4.5502,105.33
516,14:10:04.375 02/25/2019,-1.9711,4.5402,105.33
517,14:10:04.500 02/25/2019,-1.9611,4.5202,105.33
518,14:10:04.625 02/25/2019,-1.9611,4.5302,105.33
519,14:10:04.750 02/25/2019,-1.9712,4.5102,105.33
520,14:10:04.875 02/25/2019,-1.9614,4.4702,105.33
521,14:10:05.000 02/25/2019,-1.9514,4.4702,105.33
522,14:10:05.125 02/25/2019,-1.9516,4.4302,105.33
523,14:10:05.250 02/25/2019,-1.9515,4.4402,105.33
524,14:10:05.375 02/25/2019,-1.9516,4.4302,105.33
525,14:10:05.500 02/25/2019,-1.9517,4.4002,105.33
526,14:10:05.625 02/25/2019,-1.9617,4.3902,105.33
527,14:10:05.750 02/25/2019,-1.9418,4.3902,105.33
528,14:10:05.875 02/25/2019,-1.9321,4.3502,105.33
529,14:10:06.000 02/25/2019,-1.9520,4.3602,105.33
530,14:10:06.125 02/25/2019,-1.9322,4.3302,105.33
531,14:10:06.250 02/25/2019,-1.9322,4.3102,105.33
532,14:10:06.375 02/25/2019,-1.9421,4.3202,105.33
533,14:10:06.500 02/25/2019,-1.9324,4.2802,105.33
534,14:10:06.625 02/25/2019,-1.9324,4.2902,105.33
535,14:10:06.750 02/25/2019,-1.9226,4.2402,105.33
536,14:10:06.875 02/25/2019,-1.9226,4.2602,105.33
537,14:10:07.000 02/25/2019,-1.9228,4.2202,105.33
538,14:10:07.125 02/25/2019,-1.9225,4.2502,105.33
539,14:10:07.250 02/25/2019,-1.9229,4.1902,105.33
540,14:10:07.375 02/25/2019,-1.9130,4.1902,105.33
541,14:10:07.500 02/25/2019,-1.9031,4.1702,105.33
542,14:10:07.625 02/25/2019,-1.9131,4.1602,105.33
543,14:10:07.750 02/25/2019,-1.9130,4.1602,105.33
544,14:10:07.875 02/25/2019,-1.9032,4.1302,105.33
545,14:10:08.000 02/25/2019,-1.9132,4.1402,105.33
546,14:10:08.125 02/25/2019,-1.9035,4.0902,105.33
547,14:10:08.250 02/25/2019,-1.9034,4.0902,105.33
548,14:10:08.375 02/25/2019,-1.9033,4.1002,105.33
549,14:10:08.500 02/25/2019,-1.8938,4.0402,105.33
550,14:10:08.625 02/25/2019,-1.9034,4.0802,105.33
551,14:10:08.750 02/25/2019,-1.9036,4.0602,105.33
552,14:10:08.875 02/25/2019,-1.8937,4.0302,105.33
553,14:10:09.000 02/25/2019,-1.8937,4.0402,105.33
554,14:10:09.125 02/25/2019,-1.8840,3.9902,105.33
555,14:10:09.250 02/25/2019,-1.8939,4.0002,105.33
556,14:10:09.375 02/25/2019,-1.8939,3.9902,105.33
557,14:10:09.500 02/25/2019,-1.8940,3.9902,105.33
558,14:10:09.625 02/25/2019,-1.8939,3.9902,105.33
559,14:10:09.750 02/25/2019,-1.8941,3.9602,105.33
560,14:10:09.875 02/25/2019,-1.8941,3.9602,105.33
561,14:10:10.000 02/25/2019,-1.8943,3.9402,105.33
562,14:10:10.125 02/25/2019,-1.8943,3.9302,105.33
563,14:10:10.250 02/25/2019,-1.8941,3.9402,105.33
564,14:10:10.375 02/25/2019,-1.8943,3.9302,105.33
565,14:10:10.500 02/25/2019,-1.8942,3.9102,105.33
566,14:10:10.625 02/25/2019,-1.8943,3.9102,105.33
567,14:10:10.750 02/25/2019,-1.9043,3.9002,105.33
568,14:10:10.875 02/25/2019,-1.8945,3.8702,105.33
569,14:10:11.000 02/25/2019,-1.9045,3.8802,105.33
570,14:10:11.125 02/25/2019,-1.8946,3.8602,105.33
571,14:10:11.250 02/25/2019,-1.9043,3.8802,105.33
572,14:10:11.375 02/25/2019,-1.9046,3.8602,105.33
573,14:10:11.500 02/25/2019,-1.9046,3.8302,105.33
574,14:10:11.625 02/25/2019,-1.9047,3.8302,105.33
575,14:10:11.750 02/25/2019,-1.8948,3.8302,105.33
576,14:10:11.875 02/25/2019,-1.9048,3.8002,105.33
577,14:10:12.000 02/25/2019,-1.9048,3.8002,105.33
578,14:10:12.125 02/25/2019,-1.9048,3.8102,105.33
579,14:10:12.250 02/25/2019,-1.9048,3.7902,105.33
580,14:10:12.375 02/25/2019,-1.9148,3.7902,105.33
581,14:10:12.500 02/25/2019,-1.9049,3.7802,105.33
582,14:10:12.625 02/25/2019,-1.9149,3.7802,105.33
583,14:10:12.750 02/25/2019,-1.9149,3.7702,105.33
584,14:10:12.875 02/25/2019,-1.9148,3.7802,105.33
585,14:10:13.000 02/25/2019,-1.9248,3.7802,105.33
586,14:10:13.125 02/25/2019,-1.9248,3.7702,105.33
587,14:10:13.250 02/25/2019,-1.9249,3.7602,105.33
588,14:10:13.375 02/25/2019,-1.9249,3.7602,105.33
589,14:10:13.500 02/25/2019,-1.9248,3.7602,105.33
590,14:10:13.625 02/25/2019,-1.9250,3.7302,105.33
591,14:10:13.750 02/25/2019,-1.9249,3.7502,105.33
592,14:10:13.875 02/25/2019,-1.9152,3.7102,105.33
593,14:10:14.000 02/25/2019,-1.9251,3.7102,105.33
594,14:10:14.125 02/25/2019,-1.9352,3.7002,105.33
595,14:10:14.250 02/25/2019,-1.9252,3.6902,105.33
596,14:10:14.375 02/25/2019,-1.9155,3.6702,105.33
597,14:10:14.500 02/25/2019,-1.9155,3.6502,105.33
598,14:10:14.625 02/25/2019,-1.9254,3.6502,105.33
599,14:10:14.750 02/25/2019,-1.9255,3.6402,105.33
600,14:10:14.875 02/25/2019,-1.9057,3.6202,105.33
601,14:10:15.000 02/25/2019,-1.9156,3.6402,105.33
602,14:10:15.125 02/25/2019,-1.9156,3.6202,105.33
603,14:10:15.250 02/25/2019,-1.9255,3.6202,105.33
604,14:10:15.375 02/25/2019,-1.9158,3.6002,105.33
605,14:10:15.500 02/25/2019,-1.9159,3.5802,105.33
606,14:10:15.625 02/25/2019,-1.9158,3.5802,105.33
607,14:10:15.750 02/25/2019,-1.9158,3.5802,105.33
608,14:10:15.875 02/25/2019,-1.9060,3.5502,105.33
609,14:10:16.000 02/25/2019,-1.9158,3.5702,105.33
610,14:10:16.125 02/25/2019,-1.9159,3.5602,105.33
611,14:10:16.250 02/25/2019,-1.9060,3.5302,105.33
612,14:10:16.375 02/25/2019,-1.9161,3.5302,105.33
613,14:10:16.500 02/25/2019,-1.9259,3.5402,105.33
614,14:10:16.625 02/25/2019,-1.9160,3.5202,105.33
615,14:10:16.750 02/25/2019,-1.9061,3.5102,105.33
616,14:10:16.875 02/25/2019,-1.9062,3.4902,105.33
617,14:10:17.000 02/25/2019,-1.9061,3.5102,105.33
618,14:10:17.125 02/25/2019,-1.9062,3.4902,105.33
619,14:10:17.250 02/25/2019,-1.9061,3.4902,105.33
620,14:10:17.375 02/25/2019,-1.9063,3.4702,105.33
621,14:10:17.500 02/25/2019,-1.9062,3.4802,105.33
622,14:10:17.625 02/25/2019,-1.9063,3.4602,105.33
623,14:10:17.750 02/25/2019,-1.8963,3.4602,105.33
624,14:10:17.875 02/25/2019,-1.8964,3.4302,105.33
625,14:10:18.000 02/25/2019,-1.8965,3.4402,105.33
626,14:10:18.125 02/25/2019,-1.9064,3.4402,105.33
627,14:10:18.250 02/25/2019,-1.8966,3.4102,105.33
628,14:10:18.375 02/25/2019,-1.9065,3.4302,105.33
629,14:10:18.500 02/25/2019,-1.8868,3.4002,105.33
630,14:10:18.625 02/25/2019,-1.8966,3.4202,105.33
631,14:10:18.750 02/25/2019,-1.9067,3.4202,105.33
